,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Openness,Consciousness,Extraversion,Agreeableness,Neuroticism
danceability,1.0,0.1337117038709097,0.032452987091154815,0.2691217656675154,-0.057220705089463024,0.10701641181335587,-0.1655778802586543,-0.19928866602283196,-0.1349518266515675,0.49796248091799106,-0.014415424856595218,-0.004771771220149159,-0.0011984009338909176,0.006770141822259152,0.003035073665250538,0.001967766924301233
energy,0.1337117038709097,1.0,0.04427836603360491,0.7586607556793825,-0.06595107179627045,0.14019494380347608,-0.7276353437313532,-0.18127282181143436,0.19137326353993742,0.25448552995976126,0.2587788700675202,-0.0003435657636834057,-0.004685839093356672,0.0008050223766965543,0.004024473540862869,-4.862833373881771e-05
key,0.032452987091154815,0.04427836603360491,1.0,0.035502622334733974,-0.1446542422792097,0.014078685841879131,-0.042743811819625215,-0.0024645876080551005,-0.002803686569765026,0.02615236224310109,0.007001452140270923,0.0005505817319311344,-0.0037342426158170046,0.004854210420605199,0.0026792581707600362,0.0002976683821180596
loudness,0.2691217656675154,0.7586607556793825,0.035502622334733974,1.0,-0.03287280198701994,0.05287133386661785,-0.5777024458675604,-0.4316403658668398,0.0784450656083147,0.2933106042747628,0.23354298738661503,-0.0002862562458580418,-0.006800684497931041,-0.001520657301727536,0.006537907350187313,-0.0036316685625869772
mode,-0.057220705089463024,-0.06595107179627045,-0.1446542422792097,-0.03287280198701994,1.0,-0.034659797451233335,0.08132320850559072,-0.051918160919920214,0.01889455076283661,0.02324398971921957,0.0008941951572626874,0.005849541381058651,0.00298177927533915,0.005442779656747107,0.002166140990029804,-0.0025306495926376237
speechiness,0.10701641181335587,0.14019494380347608,0.014078685841879131,0.05287133386661785,-0.034659797451233335,1.0,0.016968483982238953,-0.1085498145466834,0.2352975046937452,0.03130715467343662,-0.00849765641946365,-0.0006503151926517887,-0.0020870962990753787,0.004807276090491593,0.004158881611771054,0.0019710221684642857
acousticness,-0.1655778802586543,-0.7276353437313532,-0.042743811819625215,-0.5777024458675604,0.08132320850559072,0.016968483982238953,1.0,0.08694073809829926,-0.011647410150994502,-0.10297063028637397,-0.2232266224055722,-0.004409917315679931,0.002234576951874634,0.0007988723732875435,-0.0036805621741640648,0.004800221893905913
instrumentalness,-0.19928866602283196,-0.18127282181143436,-0.0024645876080551005,-0.4316403658668398,-0.051918160919920214,-0.1085498145466834,0.08694073809829926,1.0,-0.09819522138873074,-0.334944630429438,-0.05851790329167861,0.0004931804809745456,-0.0007609022928492823,-0.0010338754369376333,-0.0021091520000156164,-0.0013788556816223315
liveness,-0.1349518266515675,0.19137326353993742,-0.002803686569765026,0.0784450656083147,0.01889455076283661,0.2352975046937452,-0.011647410150994502,-0.09819522138873074,1.0,0.0096514130033987,-0.01178424692432899,-0.004488575225790766,0.0019321034329999114,-0.0021397318883630873,-0.0002614826206893376,0.0034092606244785282
valence,0.49796248091799106,0.25448552995976126,0.02615236224310109,0.2933106042747628,0.02324398971921957,0.03130715467343662,-0.10297063028637397,-0.334944630429438,0.0096514130033987,1.0,0.09492255682941156,-0.0058150769763735425,0.0024420832107111727,0.002012813757815818,0.001326195394954341,0.0060654829704784976
tempo,-0.014415424856595218,0.2587788700675202,0.007001452140270923,0.23354298738661503,0.0008941951572626874,-0.00849765641946365,-0.2232266224055722,-0.05851790329167861,-0.01178424692432899,0.09492255682941156,1.0,0.0021751577997816047,0.001654532688138081,0.000973117923604239,0.004829373539095138,0.000691363715741967
Openness,-0.004771771220149159,-0.0003435657636834057,0.0005505817319311344,-0.0002862562458580418,0.005849541381058651,-0.0006503151926517887,-0.004409917315679931,0.0004931804809745456,-0.004488575225790766,-0.0058150769763735425,0.0021751577997816047,1.0,0.00011650767148461418,0.0007486064450640917,0.00321068754831711,-0.003275510210587438
Consciousness,-0.0011984009338909176,-0.004685839093356672,-0.0037342426158170046,-0.006800684497931041,0.00298177927533915,-0.0020870962990753787,0.002234576951874634,-0.0007609022928492823,0.0019321034329999114,0.0024420832107111727,0.001654532688138081,0.00011650767148461418,1.0,0.003912822667353422,-0.0012268876709010201,-0.002775016100326562
Extraversion,0.006770141822259152,0.0008050223766965543,0.004854210420605199,-0.001520657301727536,0.005442779656747107,0.004807276090491593,0.0007988723732875435,-0.0010338754369376333,-0.0021397318883630873,0.002012813757815818,0.000973117923604239,0.0007486064450640917,0.003912822667353422,1.0,-0.002705977778718817,-0.000288930191201838
Agreeableness,0.003035073665250538,0.004024473540862869,0.0026792581707600362,0.006537907350187313,0.002166140990029804,0.004158881611771054,-0.0036805621741640648,-0.0021091520000156164,-0.0002614826206893376,0.001326195394954341,0.004829373539095138,0.00321068754831711,-0.0012268876709010201,-0.002705977778718817,1.0,0.0030457178397597863
Neuroticism,0.001967766924301233,-4.862833373881771e-05,0.0002976683821180596,-0.0036316685625869772,-0.0025306495926376237,0.0019710221684642857,0.004800221893905913,-0.0013788556816223315,0.0034092606244785282,0.0060654829704784976,0.000691363715741967,-0.003275510210587438,-0.002775016100326562,-0.000288930191201838,0.0030457178397597863,1.0
